Fecha;Ciudad;Sistema;Pasajeros/dia;Variacion Transmilenio;Pasajeros dia tipico laboral;Pasajeros dia sabado;Pasajeros dia festivo;DiaSemana
25/03/2020;Bogota;TRANSMILENIO/SITP;624,30;-0,838266286;3860,061;2499,019;1188,607;3
26/03/2020;Bucaramanga;METROLINEA;16,82;-0,841569795;106,154;70,267;33,354;4
26/03/2020;Pereira;MEGABUS;18,14;-0,858525515;128,221;100,186;52,276;4
26/03/2020;Cartagena;TRANSCARIBE;5,24;-0,962557143;140;95,43;45,203;4
26/03/2020;Barranquilla;TRANSMETRO;22,47;-0,844284566;144,276;110;52;4
26/03/2020;Cali/Valle;MIO;64,71;-0,851584862;436;308,387;149,213;4
26/03/2020;Medellin;SITVA;264,02;-0,861186617;1901,978;1498,727;780,939;4
26/03/2020;Bogota;TRANSMILENIO/SITP;616,42;-0,840307705;3860,061;2499,019;1188,607;4
27/03/2020;Bucaramanga;METROLINEA;17,42;-0,835917629;106,154;70,267;33,354;5
27/03/2020;Pereira;MEGABUS;18,95;-0,852239493;128,221;100,186;52,276;5
27/03/2020;Cartagena;TRANSCARIBE;5,37;-0,961614286;140;95,43;45,203;5
27/03/2020;Barranquilla;TRANSMETRO;24,08;-0,833090743;144,276;110;52;5
27/03/2020;Cali/Valle;MIO;68,30;-0,843350917;436;308,387;149,213;5
27/03/2020;Medellin;SITVA;270,97;-0,857532527;1901,978;1498,727;780,939;5
27/03/2020;Bogota;TRANSMILENIO/SITP;595,60;-0,845701402;3860,061;2499,019;1188,607;5
28/03/2020;Bucaramanga;METROLINEA;13,36;-0,809910769;106,154;70,267;33,354;6
28/03/2020;Pereira;MEGABUS;15,15;-0,848811211;128,221;100,186;52,276;6
28/03/2020;Cartagena;TRANSCARIBE;3,75;-0,960662266;140;95,43;45,203;6
28/03/2020;Barranquilla;TRANSMETRO;19,21;-0,825327273;144,276;110;52;6
28/03/2020;Cali/Valle;MIO;48,07;-0,844111457;436;308,387;149,213;6
28/03/2020;Medellin;SITVA;211,54;-0,858854214;1901,978;1498,727;780,939;6
28/03/2020;Bogota;TRANSMILENIO/SITP;463,28;-0,814613654;3860,061;2499,019;1188,607;6
29/03/2020;Bucaramanga;METROLINEA;6,82;-0,795466811;106,154;70,267;33,354;7
29/03/2020;Pereira;MEGABUS;7,51;-0,8563203;128,221;100,186;52,276;7
29/03/2020;Cartagena;TRANSCARIBE;1,53;-0,966174811;140;95,43;45,203;7
29/03/2020;Barranquilla;TRANSMETRO;9,85;-0,810615385;144,276;110;52;7
29/03/2020;Cali/Valle;MIO;25,38;-0,829920985;436;308,387;149,213;7
29/03/2020;Medellin;SITVA;103,29;-0,867742551;1901,978;1498,727;780,939;7
29/03/2020;Bogota;TRANSMILENIO/SITP;242,31;-0,796138673;3860,061;2499,019;1188,607;7
30/03/2020;Bucaramanga;METROLINEA;20,77;-0,804387965;106,154;70,267;33,354;1
30/03/2020;Pereira;MEGABUS;20,84;-0,837499318;128,221;100,186;52,276;1
30/03/2020;Cartagena;TRANSCARIBE;4,88;-0,965135714;140;95,43;45,203;1
30/03/2020;Barranquilla;TRANSMETRO;26,39;-0,817065901;144,276;110;52;1
30/03/2020;Cali/Valle;MIO;72,56;-0,833568807;436;308,387;149,213;1
30/03/2020;Medellin;SITVA;277,12;-0,854300102;1901,978;1498,727;780,939;1
30/03/2020;Bogota;TRANSMILENIO/SITP;641,94;-0,833696151;3860,061;2499,019;1188,607;1
31/03/2020;Bucaramanga;METROLINEA;20,16;-0,810058971;106,154;70,267;33,354;2
31/03/2020;Pereira;MEGABUS;20,97;-0,836493242;128,221;100,186;52,276;2
31/03/2020;Cartagena;TRANSCARIBE;4,24;-0,969735714;140;95,43;45,203;2
31/03/2020;Barranquilla;TRANSMETRO;26,25;-0,818029333;144,276;110;52;2
31/03/2020;Cali/Valle;MIO;70,81;-0,83759633;436;308,387;149,213;2
31/03/2020;Medellin;SITVA;268,37;-0,858898473;1901,978;1498,727;780,939;2
31/03/2020;Bogota;TRANSMILENIO/SITP;625,31;-0,838004374;3860,061;2499,019;1188,607;2
1/04/2020;Bucaramanga;METROLINEA;21,36;-0,79876406;106,154;70,267;33,354;3
1/04/2020;Pereira;MEGABUS;21,34;-0,833607599;128,221;100,186;52,276;3
1/04/2020;Cartagena;TRANSCARIBE;4,63;-0,9669;140;95,43;45,203;3
1/04/2020;Barranquilla;TRANSMETRO;27,57;-0,808880202;144,276;110;52;3
1/04/2020;Cali/Valle;MIO;75,60;-0,826607798;436;308,387;149,213;3
1/04/2020;Medellin;SITVA;277,77;-0,853958879;1901,978;1498,727;780,939;3
1/04/2020;Bogota;TRANSMILENIO/SITP;668,54;-0,826806105;3860,061;2499,019;1188,607;3
2/04/2020;Bucaramanga;METROLINEA;21,65;-0,796013339;106,154;70,267;33,354;4
2/04/2020;Pereira;MEGABUS;21,90;-0,829201145;128,221;100,186;52,276;4
2/04/2020;Cartagena;TRANSCARIBE;4,26;-0,969578571;140;95,43;45,203;4
2/04/2020;Barranquilla;TRANSMETRO;24,68;-0,828945909;144,276;110;52;4
2/04/2020;Cali/Valle;MIO;76,56;-0,824401376;436;308,387;149,213;4
2/04/2020;Medellin;SITVA;254,20;-0,866350189;1901,978;1498,727;780,939;4
2/04/2020;Bogota;TRANSMILENIO/SITP;657,30;-0,829717717;3860,061;2499,019;1188,607;4
3/04/2020;Bucaramanga;METROLINEA;18,91;-0,821843736;106,154;70,267;33,354;5
3/04/2020;Pereira;MEGABUS;21,30;-0,833888365;128,221;100,186;52,276;5
3/04/2020;Cartagena;TRANSCARIBE;4,56;-0,967421429;140;95,43;45,203;5
3/04/2020;Barranquilla;TRANSMETRO;26,61;-0,815541046;144,276;110;52;5
3/04/2020;Cali/Valle;MIO;74,58;-0,828940367;436;308,387;149,213;5
3/04/2020;Medellin;SITVA;263,60;-0,861405337;1901,978;1498,727;780,939;5
3/04/2020;Bogota;TRANSMILENIO/SITP;654,13;-0,830538429;3860,061;2499,019;1188,607;5
4/04/2020;Bucaramanga;METROLINEA;10,37;-0,852462749;106,154;70,267;33,354;6
4/04/2020;Pereira;MEGABUS;15,00;-0,850278482;128,221;100,186;52,276;6
4/04/2020;Cartagena;TRANSCARIBE;3,00;-0,96860526;140;95,43;45,203;6
4/04/2020;Barranquilla;TRANSMETRO;20,19;-0,8165;144,276;110;52;6
4/04/2020;Cali/Valle;MIO;53,11;-0,827774841;436;308,387;149,213;6
4/04/2020;Medellin;SITVA;211,52;-0,858868226;1901,978;1498,727;780,939;6
4/04/2020;Bogota;TRANSMILENIO/SITP;493,79;-0,802408065;3860,061;2499,019;1188,607;6
5/04/2020;Bucaramanga;METROLINEA;5,83;-0,825268334;106,154;70,267;33,354;7
5/04/2020;Pereira;MEGABUS;6,44;-0,876731196;128,221;100,186;52,276;7
5/04/2020;Cartagena;TRANSCARIBE;1,03;-0,977191779;140;95,43;45,203;7
5/04/2020;Barranquilla;TRANSMETRO;10,30;-0,801942308;144,276;110;52;7
5/04/2020;Cali/Valle;MIO;27,69;-0,814406251;436;308,387;149,213;7
5/04/2020;Medellin;SITVA;104,30;-0,866446675;1901,978;1498,727;780,939;7
5/04/2020;Bogota;TRANSMILENIO/SITP;256,74;-0,78400346;3860,061;2499,019;1188,607;7
6/04/2020;Bucaramanga;METROLINEA;20,67;-0,80525463;106,154;70,267;33,354;1
6/04/2020;Pereira;MEGABUS;21,13;-0,8352142;128,221;100,186;52,276;1
6/04/2020;Cartagena;TRANSCARIBE;4,16;-0,970292857;140;95,43;45,203;1
6/04/2020;Barranquilla;TRANSMETRO;25,65;-0,822243478;144,276;110;52;1
6/04/2020;Cali/Valle;MIO;71,04;-0,837073394;436;308,387;149,213;1
6/04/2020;Medellin;SITVA;267,30;-0,859462097;1901,978;1498,727;780,939;1
6/04/2020;Bogota;TRANSMILENIO/SITP;680,94;-0,823593461;3860,061;2499,019;1188,607;1
7/04/2020;Bucaramanga;METROLINEA;19,44;-0,816869831;106,154;70,267;33,354;2
7/04/2020;Pereira;MEGABUS;22,59;-0,823796414;128,221;100,186;52,276;2
7/04/2020;Cartagena;TRANSCARIBE;4,21;-0,96995;140;95,43;45,203;2
7/04/2020;Barranquilla;TRANSMETRO;27,25;-0,811153622;144,276;110;52;2
7/04/2020;Cali/Valle;MIO;74,99;-0,828011468;436;308,387;149,213;2
7/04/2020;Medellin;SITVA;266,04;-0,860122988;1901,978;1498,727;780,939;2
7/04/2020;Bogota;TRANSMILENIO/SITP;610,59;-0,841818303;3860,061;2499,019;1188,607;2
8/04/2020;Bucaramanga;METROLINEA;22,75;-0,785651035;106,154;70,267;33,354;3
8/04/2020;Pereira;MEGABUS;21,88;-0,829349327;128,221;100,186;52,276;3
8/04/2020;Cartagena;TRANSCARIBE;3,85;-0,972514286;140;95,43;45,203;3
8/04/2020;Barranquilla;TRANSMETRO;27,49;-0,809490144;144,276;110;52;3
8/04/2020;Cali/Valle;MIO;81,40;-0,813311927;436;308,387;149,213;3
8/04/2020;Medellin;SITVA;272,90;-0,856517794;1901,978;1498,727;780,939;3
8/04/2020;Bogota;TRANSMILENIO/SITP;675,67;-0,824958466;3860,061;2499,019;1188,607;3
9/04/2020;Bucaramanga;METROLINEA;10,87;-0,897563917;106,154;70,267;33,354;4
9/04/2020;Pereira;MEGABUS;10,65;-0,916948082;128,221;100,186;52,276;4
9/04/2020;Cartagena;TRANSCARIBE;1,23;-0,991207143;140;95,43;45,203;4
9/04/2020;Barranquilla;TRANSMETRO;12,64;-0,91238321;144,276;110;52;4
9/04/2020;Cali/Valle;MIO;33,95;-0,922137615;436;308,387;149,213;4
9/04/2020;Medellin;SITVA;125,52;-0,934007123;1901,978;1498,727;780,939;4
9/04/2020;Bogota;TRANSMILENIO/SITP;285,24;-0,926104795;3860,061;2499,019;1188,607;4
10/04/2020;Bucaramanga;METROLINEA;7,11;-0,933050097;106,154;70,267;33,354;5
10/04/2020;Pereira;MEGABUS;8,23;-0,935829544;128,221;100,186;52,276;5
10/04/2020;Cartagena;TRANSCARIBE;1,21;-0,991378571;140;95,43;45,203;5
10/04/2020;Barranquilla;TRANSMETRO;9,66;-0,933017272;144,276;110;52;5
10/04/2020;Cali/Valle;MIO;27,46;-0,937009174;436;308,387;149,213;5
10/04/2020;Medellin;SITVA;97,62;-0,948672908;1901,978;1498,727;780,939;5
10/04/2020;Bogota;TRANSMILENIO/SITP;224,45;-0,941854546;3860,061;2499,019;1188,607;5
11/04/2020;Bucaramanga;METROLINEA;7,27;-0,896523261;106,154;70,267;33,354;6
11/04/2020;Pereira;MEGABUS;13,83;-0,861996686;128,221;100,186;52,276;6
11/04/2020;Cartagena;TRANSCARIBE;2,90;-0,969621712;140;95,43;45,203;6
11/04/2020;Barranquilla;TRANSMETRO;17,05;-0,845027273;144,276;110;52;6
11/04/2020;Cali/Valle;MIO;43,65;-0,858460311;436;308,387;149,213;6
11/04/2020;Medellin;SITVA;184,79;-0,876703362;1901,978;1498,727;780,939;6
11/04/2020;Bogota;TRANSMILENIO/SITP;396,99;-0,841143665;3860,061;2499,019;1188,607;6
