Fecha,Ciudad,Sistema,Pasajeros/dia,Variacion Transmilenio,Pasajeros dia tipico laboral,Pasajeros dia sabado,Pasajeros dia festivo,DiaSemana
27/03/2020,Pereira,MEGABUS,1895,-852239493,128221,100186,52276,5
27/03/2020,Cartagena,TRANSCARIBE,537,-961614286,140,9543,45203,5
27/03/2020,Barranquilla,TRANSMETRO,2408,-833090743,144276,110,52,5
27/03/2020,Cali/Valle,MIO,683,-843350917,436,308387,149213,5
27/03/2020,Medellin,SITVA,27097,-857532527,1901978,1498727,780939,5
27/03/2020,Bogota,TRANSMILENIO/SITP,5956,-845701402,3860061,2499019,1188607,5
28/03/2020,Bucaramanga,METROLINEA,1336,-809910769,106154,70267,33354,6
28/03/2020,Pereira,MEGABUS,1515,-848811211,128221,100186,52276,6
28/03/2020,Cartagena,TRANSCARIBE,375,-960662266,140,9543,45203,6
28/03/2020,Barranquilla,TRANSMETRO,1921,-825327273,144276,110,52,6
28/03/2020,Cali/Valle,MIO,4807,-844111457,436,308387,149213,6
28/03/2020,Medellin,SITVA,21154,-858854214,1901978,1498727,780939,6
28/03/2020,Bogota,TRANSMILENIO/SITP,46328,-814613654,3860061,2499019,1188607,6
29/03/2020,Bucaramanga,METROLINEA,682,-795466811,106154,70267,33354,7
29/03/2020,Pereira,MEGABUS,751,-8563203,128221,100186,52276,7
29/03/2020,Cartagena,TRANSCARIBE,153,-966174811,140,9543,45203,7
29/03/2020,Barranquilla,TRANSMETRO,985,-810615385,144276,110,52,7
29/03/2020,Cali/Valle,MIO,2538,-829920985,436,308387,149213,7
29/03/2020,Medellin,SITVA,10329,-867742551,1901978,1498727,780939,7
29/03/2020,Bogota,TRANSMILENIO/SITP,24231,-796138673,3860061,2499019,1188607,7
30/03/2020,Bucaramanga,METROLINEA,2077,-804387965,106154,70267,33354,1
30/03/2020,Pereira,MEGABUS,2084,-837499318,128221,100186,52276,1
30/03/2020,Cartagena,TRANSCARIBE,488,-965135714,140,9543,45203,1
30/03/2020,Barranquilla,TRANSMETRO,2639,-817065901,144276,110,52,1
30/03/2020,Cali/Valle,MIO,7256,-833568807,436,308387,149213,1
30/03/2020,Medellin,SITVA,27712,-854300102,1901978,1498727,780939,1
30/03/2020,Bogota,TRANSMILENIO/SITP,64194,-833696151,3860061,2499019,1188607,1
