Fecha;Ciudad;Sistema;Pasajeros/dia;Variacion Transmilenio;Pasajeros dia tipico laboral;Pasajeros dia sabado;Pasajeros dia festivo;DiaSemana
2/05/2020;Cali/Valle;MIO;63,239;-0,794936233;436;308,387;149,213;6
4/07/2020;Cali/Valle;MIO;128,601;-0,582988258;436;308,387;149,213;6
9/04/2020;Cali/Valle;MIO;33,948;-0,922137615;436;308,387;149,213;4
3/09/2020;Cali/Valle;MIO;173,996;-0,600926606;436;308,387;149,213;4
2/08/2020;Cali/Valle;MIO;172,25;-0,604931193;436;308,387;149,213;1
16/04/2020;Cali/Valle;MIO;84,863;-0,805360092;436;308,387;149,213;4
8/05/2020;Cali/Valle;MIO;112,53;-0,74190367;436;308,387;149,213;5
7/08/2020;Cali/Valle;MIO;63,939;-0,57149176;436;308,387;149,213;5
26/05/2020;Cali/Valle;MIO;135,474;-0,689279817;436;308,387;149,213;2
22/07/2020;Cali/Valle;MIO;165,357;-0,620740826;436;308,387;149,213;3
25/06/2020;Cali/Valle;MIO;163,096;-0,625926606;436;308,387;149,213;4
6/04/2020;Cali/Valle;MIO;71,036;-0,837073394;436;308,387;149,213;1
1/06/2020;Cali/Valle;MIO;142,489;-0,045063098;436;308,387;149,213;1
28/06/2020;Cali/Valle;MIO;56,606;-0,620636272;436;308,387;149,213;7
24/06/2020;Cali/Valle;MIO;162,313;-0,627722477;436;308,387;149,213;3
20/07/2020;Cali/Valle;MIO;49,978;-0,665055994;436;308,387;149,213;1
3/08/2020;Cali/Valle;MIO;172,25;-0,604931193;436;308,387;149,213;2
16/06/2020;Cali/Valle;MIO;162,876;-0,626431193;436;308,387;149,213;2
4/09/2020;Cali/Valle;MIO;174,19;-0,600481651;436;308,387;149,213;5
29/03/2020;Cali/Valle;MIO;25,378;-0,829920985;436;308,387;149,213;7
5/04/2020;Cali/Valle;MIO;27,693;-0,814406251;436;308,387;149,213;7
29/05/2020;Cali/Valle;MIO;132,729;-0,695575688;436;308,387;149,213;5
26/06/2020;Cali/Valle;MIO;167,246;-0,616408257;436;308,387;149,213;5
19/04/2020;Cali/Valle;MIO;29,933;-0,799394155;436;308,387;149,213;7
1/07/2020;Cali/Valle;MIO;175,459;-0,597571101;436;308,387;149,213;3
5/08/2020;Cali/Valle;MIO;171,168;-0,607412844;436;308,387;149,213;4
13/04/2020;Cali/Valle;MIO;84,637;-0,80587844;436;308,387;149,213;1
11/08/2020;Cali/Valle;MIO;171,786;-0,605995413;436;308,387;149,213;2
30/06/2020;Cali/Valle;MIO;177,197;-0,593584862;436;308,387;149,213;2
3/04/2020;Cali/Valle;MIO;74,582;-0,828940367;436;308,387;149,213;5
25/08/2020;Cali/Valle;MIO;159,082;-0,635133028;436;308,387;149,213;2
25/04/2020;Cali/Valle;MIO;69,959;-0,773145431;436;308,387;149,213;6
28/07/2020;Cali/Valle;MIO;161,275;-0,630103211;436;308,387;149,213;2
21/03/2020;Cali/Valle;MIO;40,119;-0,869906968;436;308,387;149,213;6
1/08/2020;Cali/Valle;MIO;125,763;-0,592190981;436;308,387;149,213;6
16/08/2020;Cali/Valle;MIO;50,953;-0,658521711;436;308,387;149,213;7
